0,0.56472,0.56513,0.56527,0.56489,0.56677,0.56488,0.56488,0.56489,0.56642
0.56472,0,0.56515,0.56522,0.56489,0.56675,0.56483,0.56488,0.56488,0.56557
0.56513,0.56515,0,0.5648,0.56491,0.56508,0.56515,0.56513,0.5653,0.56495
0.56527,0.56522,0.5648,0,0.565,0.56486,0.5652,0.56519,0.56626,0.56444
0.56489,0.56489,0.56491,0.565,0,0.56552,0.56492,0.56491,0.56506,0.56525
0.56677,0.56675,0.56508,0.56486,0.56552,0,0.56672,0.56668,0.5669,0.56448
0.56488,0.56483,0.56515,0.5652,0.56492,0.56672,0,0.56483,0.56493,0.56549
0.56488,0.56488,0.56513,0.56519,0.56491,0.56668,0.56483,0,0.56497,0.56547
0.56489,0.56488,0.5653,0.56626,0.56506,0.5669,0.56493,0.56497,0,0.56658
0.56642,0.56557,0.56495,0.56444,0.56525,0.56448,0.56549,0.56547,0.56658,0
